trial,fem,face,race,scale
18.1,50,w3_3,White,m
19.1,33.33,w3_4,White,m
20.1,16.67,w3_5,White,m
21.1,0,w3_6,White,m
22.1,100,w4_0,White,m
23.1,83.33,w4_1,White,m
24.1,66.67,w4_2,White,m
25.1,50,w4_3,White,m
26.1,33.33,w4_4,White,m
27.1,16.67,w4_5,White,m
28.1,0,w4_6,White,m
29.1,100,w5_0,White,m
30.1,83.33,w5_1,White,m
31.1,66.67,w5_2,White,m
32.1,50,w5_3,White,m
33.1,33.33,w5_4,White,m
34.1,16.67,w5_5,White,m
35.1,0,w5_6,White,m
36.1,100,w6_0,White,m
37.1,83.33,w6_1,White,m
38.1,66.67,w6_2,White,m
39.1,50,w6_3,White,m
40.1,33.33,w6_4,White,m
41.1,16.67,w6_5,White,m
42.1,0,w6_6,White,m
43.1,100,w7_0,White,m
44.1,83.33,w7_1,White,m
45.1,66.67,w7_2,White,m
46.1,50,w7_3,White,m
47.1,33.33,w7_4,White,m
48.1,16.67,w7_5,White,m
49.1,0,w7_6,White,m
50.1,100,w8_0,White,m
51.1,83.33,w8_1,White,m
52.1,66.67,w8_2,White,m
53.1,50,w8_3,White,m
54.1,33.33,w8_4,White,m
55.1,16.67,w8_5,White,m
56.1,0,w8_6,White,m
101.1,0,w1_0,Black,m
102.1,16.67,w1_1,Black,m
103.1,33.33,w1_2,Black,m
104.1,50,w1_3,Black,m
105.1,66.67,w1_4,Black,m
106.1,83.33,w1_5,Black,m
107.1,0,w1_6,Black,m
108.1,100,w2_0,Black,m
109.1,83.33,w2_1,Black,m
110.1,66.67,w2_2,Black,m
111.1,50,w2_3,Black,m
112.1,33.33,w2_4,Black,m
113.1,16.67,w2_5,Black,m
114.1,0,w2_6,Black,m
115.1,100,w3_0,Black,m
116.1,83.33,w3_1,Black,m
117.1,66.67,w3_2,Black,m
118.1,50,w3_3,Black,m
119.1,33.33,w3_4,Black,m
120.1,16.67,w3_5,Black,m
121.1,0,w3_6,Black,m
122.1,100,w4_0,Black,m
123.1,83.33,w4_1,Black,m
124.1,66.67,w4_2,Black,m
125.1,50,w4_3,Black,m
126.1,33.33,w4_4,Black,m
127.1,16.67,w4_5,Black,m
128.1,0,w4_6,Black,m
129.1,100,w5_0,Black,m
130.1,83.33,w5_1,Black,m
131.1,66.67,w5_2,Black,m
132.1,50,w5_3,Black,m
133.1,33.33,w5_4,Black,m
134.1,16.67,w5_5,Black,m
135.1,0,w5_6,Black,m
136.1,100,w6_0,Asian,m
137.1,83.33,w6_1,Asian,m
138.1,66.67,w6_2,Asian,m
139.1,50,w6_3,Asian,m
140.1,33.33,w6_4,Asian,m
141.1,16.67,w6_5,Asian,m
142.1,0,w6_6,Asian,m
143.1,100,w7_0,Asian,m
144.1,83.33,w7_1,Asian,m
145.1,66.67,w7_2,Asian,m
146.1,50,w7_3,Asian,m
147.1,33.33,w7_4,Asian,m
148.1,16.67,w7_5,Asian,m
149.1,0,w7_6,Asian,m
150.1,100,w8_0,Asian,m
151.1,83.33,w8_1,Asian,m
152.1,66.67,w8_2,Asian,m
153.1,50,w8_3,Asian,m
154.1,33.33,w8_4,Asian,m
155.1,16.67,w8_5,Asian,m
156.1,0,w8_6,Asian,m
